RegistryDate,ExpirationDate,HostCountry,DomainAge,URLType
1997-10-05 04:00:00,2020-10-04 04:00:00,US,8213,0
,,,0,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2014-07-05 18:43:20,2021-07-05 18:43:20,US,2095,1
,,,0,0
,,,0,1
2015-03-24 07:05:16,2021-03-24 07:05:16,US,1834,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2015-06-08 06:40:44,2020-06-08 06:40:44,US,1758,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
1998-05-27 04:00:00,2020-05-26 04:00:00,US,7979,0
2002-05-20 18:06:29,2023-05-20 18:06:29,IN,6524,0
2014-03-31 08:10:16,2023-03-31 08:10:16,US,2192,1
,,,0,0
2009-06-12 13:55:30,2020-06-12 13:55:30,US,3945,0
2014-12-31 06:05:20,2021-12-31 06:05:20,US,1917,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2006-11-10 16:09:39,2020-11-10 16:09:39,,4890,1
2012-06-26 05:22:07,2020-06-26 05:22:07,REDACTED FOR PRIVACY,2835,1
2013-02-25 11:05:01,2021-02-25 11:05:01,IN,2591,1
,,,0,0
2004-10-18 00:00:00,2022-10-27 00:00:00,,5643,0
2017-05-20 18:31:08,2020-05-20 18:31:08,REDACTED FOR PRIVACY,1045,1
2014-04-02 02:15:54,2020-04-02 02:15:54,CN,2190,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2010-01-15 07:24:23,2026-01-15 07:24:23,CN,3728,1
2014-07-05 18:43:20,2021-07-05 18:43:20,US,2095,1
2017-08-06 18:26:17,2020-08-06 18:26:17,US,967,0
2013-03-19 20:03:25,2021-03-19 20:03:25,EG,2568,0
2017-08-06 18:26:17,2020-08-06 18:26:17,US,967,0
1998-05-27 04:00:00,2020-05-26 04:00:00,US,7979,0
2008-08-02 19:06:27,2020-08-02 19:06:27,PA,4258,0
1996-09-19 04:00:00,2028-04-30 04:23:28,US,8594,1
2008-09-16 13:28:35,2020-09-19 00:00:00,,4214,0
1998-09-25 04:00:00,2020-09-24 04:00:00,JP,7858,0
2017-05-20 18:31:08,2020-05-20 18:31:08,REDACTED FOR PRIVACY,1045,1
2013-08-16 03:38:05,2021-08-16 03:38:05,HK,2419,1
1998-07-08 04:00:00,2020-07-07 04:00:00,JP,7937,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
,2028-06-17 00:00:00,,0,0
2012-03-06 20:59:19,2021-03-06 20:59:19,,2946,1
2009-12-21 01:20:46,2020-12-21 01:20:46,CN,3753,1
2011-04-29 11:29:16,2020-04-29 11:29:16,US,3259,0
,,,0,1
2005-07-19 14:50:34,2026-07-19 14:50:34,US,5369,0
2014-12-31 06:05:20,2021-12-31 06:05:20,US,1917,1
2017-08-11 18:52:19,2020-08-11 18:52:19,CN,962,1
,2028-06-17 00:00:00,,0,0
2015-04-04 11:44:50,2022-04-04 11:44:50,US,1823,1
,,,0,1
2005-01-11 14:20:09,2021-01-11 14:20:09,,5558,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2009-02-07 19:41:59,2028-02-07 19:41:59,REDACTED FOR PRIVACY,4069,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
2011-02-03 06:10:08,2021-02-03 06:10:08,US,3344,0
1998-07-08 04:00:00,2020-07-07 04:00:00,JP,7937,0
2010-06-22 06:38:59,2023-06-22 06:38:59,CN,3570,1
,,,0,0
1993-12-01 05:00:00,2025-12-08 16:40:05,GB,9617,1
